,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
66,Kyle Kuzma,WAS,26,66,29,37,33.4,17.1,6.4,14.2,45.2,1.9,5.7,34.1,2.4,3.3,71.2,1.1,7.4,8.5,3.5,2.6,0.6,0.9,1.9,34.6,24,1,-4.3,2022
67,Keldon Johnson,SAS,22,75,33,42,31.9,17.0,6.3,13.5,46.6,2.1,5.3,39.8,2.4,3.1,75.6,1.1,5.0,6.1,2.1,1.2,0.8,0.2,2.0,29.2,6,0,1.0,2022
68,Caris LeVert,CLE,27,58,23,35,30.7,17.0,6.5,14.7,44.4,1.4,4.4,32.0,2.5,3.3,75.6,0.7,2.9,3.7,4.3,1.9,0.9,0.4,2.3,29.8,1,0,-1.1,2022
69,Reggie Jackson,LAC,32,75,38,37,31.2,16.8,6.4,16.3,39.2,2.2,6.8,32.6,1.8,2.2,84.7,0.5,3.1,3.6,4.8,2.3,0.7,0.2,2.1,28.8,5,0,-0.9,2022
70,Harrison Barnes,SAC,30,77,27,50,33.6,16.4,5.1,10.8,46.9,1.8,4.7,39.4,4.4,5.4,82.6,1.1,4.5,5.6,2.4,1.5,0.7,0.2,1.2,27.9,5,0,-4.9,2022
71,Cole Anthony,ORL,22,65,18,47,31.7,16.3,5.5,14.0,39.1,2.0,6.0,33.8,3.3,3.9,85.4,0.5,4.9,5.4,5.7,2.6,0.7,0.3,2.6,31.6,9,0,-3.6,2022
72,Jaren Jackson Jr.,MEM,22,78,53,25,27.3,16.3,5.5,13.3,41.5,1.6,5.1,31.9,3.6,4.4,82.3,1.5,4.3,5.8,1.1,1.7,0.9,2.3,3.5,32.9,7,0,4.6,2022
73,Jalen Brunson,DAL,25,79,50,29,31.9,16.3,6.4,12.8,50.2,1.2,3.2,37.3,2.3,2.7,84.0,0.5,3.4,3.9,4.8,1.6,0.8,0.0,1.9,29.2,7,0,2.9,2022
74,John Collins,ATL,24,54,26,28,30.8,16.2,6.3,11.9,52.6,1.2,3.3,36.4,2.5,3.1,79.3,1.7,6.1,7.8,1.8,1.1,0.6,1.0,3.0,32.2,16,0,0.7,2022
75,Jarrett Allen,CLE,24,56,35,21,32.3,16.1,6.6,9.7,67.7,0.0,0.2,10.0,2.9,4.2,70.8,3.4,7.3,10.8,1.6,1.7,0.8,1.3,1.7,36.2,32,0,2.4,2022
