,PLAYER,TEAM,AGE,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,HEIGHT,WEIGHT,POSITION
BenMcLemore|2021,BenMcLemore,LAL,28,53,7.7,2.5,6.9,37.0,1.8,5.3,34.6,0.7,1.0,73.6,0.3,1.6,1.9,0.7,0.8,0.4,0.2,1.7,0,0,190.5,195,SG
BenMcLemore|2020,BenMcLemore,HOU,27,71,10.1,3.4,7.7,44.4,2.5,6.4,40.0,0.7,0.9,74.6,0.3,1.9,2.2,0.8,0.7,0.6,0.2,2.2,1,0,190.5,195,SG
AlHorford|2022,AlHorford,BOS,36,69,10.2,3.9,8.2,46.7,1.3,3.8,33.6,1.2,1.4,84.2,1.6,6.1,7.7,3.4,0.9,0.7,1.3,1.9,15,0,205.74,240,C
AlHorford|2020,AlHorford,PHI,34,67,11.9,4.8,10.6,45.0,1.5,4.2,35.0,0.9,1.2,76.3,1.5,5.3,6.8,4.0,1.2,0.8,0.9,2.1,6,0,205.74,240,C
CamReddish|2022,CamReddish,NYK,22,49,10.1,3.4,8.3,40.4,1.3,3.8,35.9,2.1,2.3,90.2,0.5,1.6,2.1,1.0,1.2,1.0,0.3,1.2,0,0,203.2,217,SF
CamReddish|2020,CamReddish,ATL,20,58,10.5,3.7,9.6,38.4,1.4,4.3,33.2,1.7,2.2,80.2,0.6,3.1,3.7,1.5,1.7,1.1,0.5,2.3,0,0,203.2,217,SF
JustinHoliday|2022,JustinHoliday,SAC,33,74,10.1,3.5,8.9,39.4,2.4,6.5,36.7,0.7,0.8,80.6,0.4,2.2,2.6,1.7,0.9,0.8,0.4,2.1,0,0,198.12,180,SF
JustinHoliday|2021,JustinHoliday,IND,32,72,10.5,3.6,8.7,41.3,2.4,6.3,38.2,0.9,1.2,78.8,0.4,3.1,3.6,1.7,0.8,1.0,0.6,1.9,0,0,198.12,180,SF
JustinHoliday|2020,JustinHoliday,IND,31,73,8.3,2.8,6.7,42.8,1.8,4.5,40.5,0.7,0.9,79.1,0.4,2.8,3.3,1.3,0.6,1.2,0.6,1.9,0,0,198.12,180,SF
BonesHyland|2022,BonesHyland,DEN,21,69,10.1,3.3,8.3,40.3,1.9,5.2,36.6,1.6,1.8,85.6,0.2,2.5,2.7,2.8,1.2,0.6,0.3,2.2,1,0,187.96,169,PG
IsaiahRoby|2022,IsaiahRoby,OKC,24,45,10.1,3.7,7.2,51.4,1.0,2.2,44.4,1.7,2.6,67.2,1.7,3.2,4.8,1.6,1.0,0.8,0.8,2.4,4,0,203.2,230,PF
IsaiahRoby|2021,IsaiahRoby,OKC,23,61,8.7,3.4,7.0,48.3,0.5,1.8,29.4,1.4,1.9,74.4,1.5,4.1,5.6,1.8,1.9,0.9,0.6,2.7,3,0,203.2,230,PF
GarrisonMathews|2022,GarrisonMathews,HOU,25,65,10.0,2.8,7.1,39.9,2.1,5.9,36.0,2.2,2.8,79.4,0.5,2.4,2.9,1.0,0.6,0.9,0.4,2.6,0,0,195.57999999999998,215,SG
GarrisonMathews|2021,GarrisonMathews,WAS,24,64,5.5,1.5,3.7,40.9,1.2,3.1,38.4,1.3,1.5,88.4,0.3,1.1,1.4,0.4,0.2,0.5,0.1,1.7,0,0,195.57999999999998,215,SG
TerrenceRoss|2022,TerrenceRoss,ORL,31,63,10.0,3.5,8.8,39.7,1.2,4.2,29.2,1.8,2.1,86.2,0.3,2.2,2.6,1.8,1.2,0.4,0.2,1.1,0,0,198.12,206,SG
TerrenceRoss|2021,TerrenceRoss,ORL,30,46,15.6,5.5,13.4,41.2,1.9,5.7,33.7,2.6,3.0,87.0,0.3,3.1,3.4,2.3,1.6,1.0,0.5,1.9,0,0,198.12,206,SG
TerrenceRoss|2020,TerrenceRoss,ORL,29,69,14.7,4.9,12.3,40.3,2.6,7.3,35.1,2.3,2.7,85.3,0.2,3.0,3.2,1.2,1.0,1.1,0.3,1.6,0,0,198.12,206,SG
RobertWilliamsIII|2022,RobertWilliamsIII,BOS,24,61,10.0,4.4,6.0,73.6,0.0,0.0,0.0,1.1,1.5,72.2,3.9,5.7,9.6,2.0,1.0,0.9,2.2,2.2,25,1,205.74,237,C
RobertWilliamsIII|2021,RobertWilliamsIII,BOS,23,52,8.0,3.6,5.0,72.1,0.0,0.0,0.0,0.9,1.4,61.6,2.6,4.3,6.9,1.8,1.0,0.8,1.8,2.0,4,0,205.74,237,C
TalenHorton-Tucker|2022,TalenHorton-Tucker,LAL,21,60,10.0,3.7,9.0,41.6,0.8,3.0,26.9,1.7,2.1,80.0,0.6,2.6,3.2,2.7,1.4,1.0,0.5,2.5,1,0,193.04,234,SG
TalenHorton-Tucker|2021,TalenHorton-Tucker,LAL,20,65,9.0,3.4,7.5,45.8,0.6,2.0,28.2,1.5,2.0,77.5,0.4,2.2,2.6,2.8,1.6,1.0,0.3,2.0,4,0,193.04,234,SG
PatConnaughton|2022,PatConnaughton,MIL,29,65,9.9,3.5,7.6,45.8,2.2,5.7,39.5,0.7,0.8,83.3,0.7,3.5,4.2,1.3,0.5,0.9,0.2,1.3,0,0,195.57999999999998,209,SG
PatConnaughton|2021,PatConnaughton,MIL,28,69,6.8,2.4,5.6,43.4,1.5,3.9,37.1,0.4,0.6,77.5,0.9,3.9,4.8,1.2,0.5,0.7,0.3,1.4,0,0,195.57999999999998,209,SG
PatConnaughton|2020,PatConnaughton,MIL,27,67,5.4,2.0,4.5,45.5,0.8,2.5,33.1,0.5,0.6,77.5,0.9,3.3,4.2,1.6,0.8,0.4,0.5,1.0,0,0,195.57999999999998,209,SG
EricBledsoe|2022,EricBledsoe,POR,32,54,9.9,3.6,8.7,42.1,0.9,3.0,31.3,1.6,2.2,76.1,0.5,2.9,3.4,4.2,2.1,1.3,0.4,1.6,2,0,185.42,214,PG
EricBledsoe|2021,EricBledsoe,NOP,31,71,12.2,4.3,10.3,42.1,1.7,5.0,34.1,1.9,2.7,68.7,0.4,3.0,3.4,3.8,1.6,0.8,0.3,1.6,4,0,185.42,214,PG
EricBledsoe|2020,EricBledsoe,MIL,30,61,14.9,5.5,11.5,47.5,1.2,3.5,34.4,2.8,3.5,79.0,0.7,3.9,4.6,5.4,2.4,0.9,0.4,2.1,2,0,185.42,214,PG
"DuaneWashington,Jr.|2022","DuaneWashington,Jr.",IND,22,48,9.9,3.6,8.9,40.5,1.7,4.5,37.7,1.0,1.3,75.4,0.1,1.6,1.7,1.8,1.2,0.5,0.1,1.4,0,0,190.5,197,PG
NassirLittle|2022,NassirLittle,POR,22,42,9.8,3.5,7.5,46.0,1.2,3.7,33.1,1.6,2.2,73.4,1.4,4.2,5.6,1.3,1.0,0.6,0.9,2.0,3,0,195.57999999999998,220,SF
NassirLittle|2021,NassirLittle,POR,21,48,4.6,1.6,3.5,46.7,0.6,1.7,35.0,0.8,0.9,80.0,0.7,2.0,2.7,0.5,0.4,0.1,0.3,1.1,0,0,195.57999999999998,220,SF
NassirLittle|2020,NassirLittle,POR,20,48,3.6,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,1,0,195.57999999999998,220,SF
TerryTaylor|2022,TerryTaylor,IND,22,33,9.6,4.1,6.7,61.4,0.4,1.2,31.6,1.1,1.5,70.6,2.9,2.3,5.2,1.2,0.7,0.4,0.2,1.8,2,0,195.57999999999998,230,SG
AlperenSengun|2022,AlperenSengun,HOU,19,72,9.6,3.5,7.3,47.4,0.4,1.6,24.8,2.3,3.2,71.1,1.9,3.5,5.5,2.6,2.0,0.8,0.9,3.0,8,0,208.28,243,C
HerbertJones|2022,HerbertJones,NOP,23,78,9.5,3.5,7.4,47.6,0.7,2.2,33.7,1.8,2.1,84.0,1.3,2.5,3.8,2.1,1.3,1.7,0.8,3.1,1,0,200.66,206,PF
JaeCrowder|2022,JaeCrowder,PHX,31,67,9.4,3.2,8.1,39.9,1.9,5.4,34.8,1.1,1.3,78.9,0.4,4.8,5.3,1.9,0.8,1.4,0.4,2.6,1,0,198.12,235,PF
JaeCrowder|2021,JaeCrowder,PHX,30,60,10.1,3.3,8.2,40.4,2.5,6.3,38.9,1.0,1.3,76.0,0.5,4.2,4.7,2.1,0.9,0.8,0.5,2.1,0,0,198.12,235,PF
JaeCrowder|2020,JaeCrowder,MIA,29,65,10.5,3.5,8.7,40.1,2.1,6.1,34.3,1.5,1.9,77.6,0.8,5.1,5.9,2.5,1.1,1.1,0.4,2.2,6,0,198.12,235,PF
ChrisBoucher|2022,ChrisBoucher,TOR,29,80,9.4,3.4,7.2,46.4,0.9,2.9,29.7,1.9,2.4,77.7,2.2,3.9,6.2,0.3,0.5,0.6,0.9,2.2,10,0,205.74,200,PF
ChrisBoucher|2021,ChrisBoucher,TOR,28,60,13.6,4.8,9.3,51.4,1.5,3.9,38.3,2.5,3.2,78.8,2.0,4.8,6.7,1.1,0.8,0.6,1.9,2.8,12,0,205.74,200,PF
ChrisBoucher|2020,ChrisBoucher,TOR,27,62,6.6,2.3,4.8,47.2,0.6,1.9,32.2,1.5,1.9,78.4,1.7,2.7,4.5,0.4,0.5,0.4,1.0,1.8,5,0,205.74,200,PF
DanielGafford|2022,DanielGafford,WAS,23,72,9.4,4.0,5.7,69.3,0.0,0.0,0.0,1.5,2.1,69.9,2.2,3.5,5.7,0.9,0.9,0.4,1.4,2.4,8,0,205.74,234,C
DanielGafford|2021,DanielGafford,WAS,22,54,7.0,2.9,4.2,68.4,0.0,0.0,0.0,1.3,2.0,66.7,1.7,2.5,4.3,0.5,0.8,0.5,1.4,1.8,2,0,205.74,234,C
